model_name,overall_score,task,n_shots,n_problems,timestamp,status,error
cogito:3b,0.0,HIGH_SCHOOL_COMPUTER_SCIENCE,3,3,2025-12-02 16:54:29,failed,DeepEvalBaseBenchmark.__init__() got an unexpected keyword argument 'n_problems'
cogito:8b,0.0,HIGH_SCHOOL_COMPUTER_SCIENCE,3,3,2025-12-02 16:54:29,failed,DeepEvalBaseBenchmark.__init__() got an unexpected keyword argument 'n_problems'
deepseek-r1:1.5b,0.0,HIGH_SCHOOL_COMPUTER_SCIENCE,3,3,2025-12-02 16:54:29,failed,DeepEvalBaseBenchmark.__init__() got an unexpected keyword argument 'n_problems'
deepseek-r1:7b,0.0,HIGH_SCHOOL_COMPUTER_SCIENCE,3,3,2025-12-02 16:54:29,failed,DeepEvalBaseBenchmark.__init__() got an unexpected keyword argument 'n_problems'
exaone-deep:2.4b,0.0,HIGH_SCHOOL_COMPUTER_SCIENCE,3,3,2025-12-02 16:54:29,failed,DeepEvalBaseBenchmark.__init__() got an unexpected keyword argument 'n_problems'
falcon3:1b,0.0,HIGH_SCHOOL_COMPUTER_SCIENCE,3,3,2025-12-02 16:54:29,failed,DeepEvalBaseBenchmark.__init__() got an unexpected keyword argument 'n_problems'
falcon3:3b,0.0,HIGH_SCHOOL_COMPUTER_SCIENCE,3,3,2025-12-02 16:54:29,failed,DeepEvalBaseBenchmark.__init__() got an unexpected keyword argument 'n_problems'
gemma3:1b,0.0,HIGH_SCHOOL_COMPUTER_SCIENCE,3,3,2025-12-02 16:54:29,failed,DeepEvalBaseBenchmark.__init__() got an unexpected keyword argument 'n_problems'
gemma3:270m,0.0,HIGH_SCHOOL_COMPUTER_SCIENCE,3,3,2025-12-02 16:54:29,failed,DeepEvalBaseBenchmark.__init__() got an unexpected keyword argument 'n_problems'
gemma3:4b,0.0,HIGH_SCHOOL_COMPUTER_SCIENCE,3,3,2025-12-02 16:54:29,failed,DeepEvalBaseBenchmark.__init__() got an unexpected keyword argument 'n_problems'
granite4:1b,0.0,HIGH_SCHOOL_COMPUTER_SCIENCE,3,3,2025-12-02 16:54:29,failed,DeepEvalBaseBenchmark.__init__() got an unexpected keyword argument 'n_problems'
granite4:3b,0.0,HIGH_SCHOOL_COMPUTER_SCIENCE,3,3,2025-12-02 16:54:29,failed,DeepEvalBaseBenchmark.__init__() got an unexpected keyword argument 'n_problems'
llama3.2:1b,0.0,HIGH_SCHOOL_COMPUTER_SCIENCE,3,3,2025-12-02 16:54:29,failed,DeepEvalBaseBenchmark.__init__() got an unexpected keyword argument 'n_problems'
mistral:7b,0.0,HIGH_SCHOOL_COMPUTER_SCIENCE,3,3,2025-12-02 16:54:29,failed,DeepEvalBaseBenchmark.__init__() got an unexpected keyword argument 'n_problems'
nemotron-mini:4b,0.0,HIGH_SCHOOL_COMPUTER_SCIENCE,3,3,2025-12-02 16:54:29,failed,DeepEvalBaseBenchmark.__init__() got an unexpected keyword argument 'n_problems'
phi3:3.8b,0.0,HIGH_SCHOOL_COMPUTER_SCIENCE,3,3,2025-12-02 16:54:29,failed,DeepEvalBaseBenchmark.__init__() got an unexpected keyword argument 'n_problems'
phi4-mini-reasoning:3.8b,0.0,HIGH_SCHOOL_COMPUTER_SCIENCE,3,3,2025-12-02 16:54:29,failed,DeepEvalBaseBenchmark.__init__() got an unexpected keyword argument 'n_problems'
qwen3:0.6b,0.0,HIGH_SCHOOL_COMPUTER_SCIENCE,3,3,2025-12-02 16:54:29,failed,DeepEvalBaseBenchmark.__init__() got an unexpected keyword argument 'n_problems'
qwen3:1.7b,0.0,HIGH_SCHOOL_COMPUTER_SCIENCE,3,3,2025-12-02 16:54:29,failed,DeepEvalBaseBenchmark.__init__() got an unexpected keyword argument 'n_problems'
qwen3:4b,0.0,HIGH_SCHOOL_COMPUTER_SCIENCE,3,3,2025-12-02 16:54:29,failed,DeepEvalBaseBenchmark.__init__() got an unexpected keyword argument 'n_problems'
tinyllama:latest,0.0,HIGH_SCHOOL_COMPUTER_SCIENCE,3,3,2025-12-02 16:54:29,failed,DeepEvalBaseBenchmark.__init__() got an unexpected keyword argument 'n_problems'
